tournament name,season
The Memorial Tournament pres. by Nationwide,2022
The Northern Trust,2017
The Northern Trust,2018
The Northern Trust,2019
The Northern Trust,2020
The Open,2015
The Open,2016
The Open,2017
The Open,2018
The Open,2019
The Open,2021
The Players Championship,2015
The Players Championship,2016
The Players Championship,2017
The Players Championship,2018
The Players Championship,2019
The Players Championship,2021
The Players Championship,2022
The RSM Classic,2016
The RSM Classic,2017
The RSM Classic,2018
The RSM Classic,2019
The RSM Classic,2020
The RSM Classic,2021
The RSM Classic,2022
The ZOZO Championship,2020
The ZOZO Championship,2021
The ZOZO Championship,2022
Tour Championship,2015
Tour Championship,2016
Tour Championship,2017
Tour Championship,2018
Tour Championship,2019
Tour Championship,2020
Tour Championship,2021
Travelers Championship,2015
Travelers Championship,2016
Travelers Championship,2017
Travelers Championship,2018
Travelers Championship,2019
Travelers Championship,2020
Travelers Championship,2021
U.S. Open,2015
U.S. Open,2016
U.S. Open,2017
U.S. Open,2018
U.S. Open,2019
U.S. Open,2021
Valero Texas Open,2015
Valero Texas Open,2016
Valero Texas Open,2017
Valero Texas Open,2018
Valero Texas Open,2019
Valero Texas Open,2021
Valero Texas Open,2022
Valspar Championship,2015
Valspar Championship,2016
Valspar Championship,2017
Valspar Championship,2018
Valspar Championship,2019
Valspar Championship,2021
Valspar Championship,2022
WGC-Bridgestone Invitational,2015
WGC-Bridgestone Invitational,2018
WGC-FedEx St. Jude Classic,2019
WGC-FedEx St. Jude Classic,2020
WGC-FedEx St. Jude Classic,2021
WGC-HSBC Champions,2015
WGC-HSBC Champions,2019
WGC-HSBC Champions,2020
WGC-Mexico Championship,2019
WGC-Mexico Championship,2020
WGC-Workday Championship,2021
Waste Management Phoenix Open,2015
Waste Management Phoenix Open,2016
Waste Management Phoenix Open,2017
Waste Management Phoenix Open,2018
Waste Management Phoenix Open,2019
Waste Management Phoenix Open,2020
Waste Management Phoenix Open,2021
Waste Management Phoenix Open,2022
Wells Fargo Championship,2015
Wells Fargo Championship,2016
Wells Fargo Championship,2017
Wells Fargo Championship,2018
Wells Fargo Championship,2019
Wells Fargo Championship,2021
Wells Fargo Championship,2022
Workday Charity Open,2020
World Golf Championship-Bridgestone Invitational,2016
World Golf Championship-Bridgestone Invitational,2017
World Golf Championships - Cadillac Championship,2015
World Golf Championships - Cadillac Championship,2016
World Golf Championships-HSBC Champions,2016
World Golf Championships-HSBC Champions,2017
World Golf Championships-HSBC Champions,2018
World Golf Championships-Mexico Championship,2017
World Golf Championships-Mexico Championship,2018
Wyndham Championship,2015
Wyndham Championship,2016
Wyndham Championship,2017
Wyndham Championship,2018
Wyndham Championship,2019
Wyndham Championship,2020
Wyndham Championship,2021
